file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
181,0,581,6476,12,747,2786,1,698,24,43,5101,1.8302834589163977,0,1004,14,1422,43,0,14,0,581,0
182,0,407,2332,226,229,1460,1,157,8,102,2376,1.626283367556468,0,131,6,677,102,0,23,0,407,19
183,0,116,747,46,769,1341,1,31,0,1360,1738,1.2950819672131149,0,50,2,796,1360,73,6,0,116,0
184,0,1776,6754,67,108,3333,1,1017,65,344,2379,0.7135572885422915,0,526,9,653,344,8,20,0,1776,10
185,0,1401,9938,181,1793,4682,1,640,124,1201,4748,1.0138799914584669,0,547,12,1326,1201,78,21,0,1401,25
186,0,489,15985,212,1417,5429,1,1400,63,405,4372,0.8051565377532228,0,666,523,2383,405,5,24,0,489,7
187,0,333,1960,34,10,263,1,204,42,67,342,1.2954545454545454,4,175,1,162,67,2,4,0,333,0
188,0,606,3691,25,116,833,1,296,2,313,1366,1.6378896882494005,0,262,166,258,313,0,15,0,606,1
189,0,1562,12509,121,276,4235,1,1248,123,267,3037,0.7169499527856469,2,980,11,1174,267,4,18,0,1562,27
190,0,1483,12490,885,598,3884,1,1418,82,252,3992,1.0275418275418275,2,953,29,1058,252,1,28,0,1483,8
191,0,151,4334,70,102,944,1,569,6,115,1287,1.361904761904762,0,348,4,520,115,3,16,0,151,1
192,0,45,440,0,3,48,42,19,3,0,83,1.6938775510204083,0,14,0,18,0,0,0,0,45,0
193,0,1204,13638,953,427,6321,1,670,77,593,3554,0.5621638721923442,0,470,29,1251,593,8,17,0,1204,17
194,0,480,6384,59,555,2812,1,450,8,1254,3508,1.247067188055457,0,168,36,691,1254,122,25,0,480,1
195,0,790,1897,0,1,867,1,34,0,0,184,0.2119815668202765,0,16,1,17,0,1,1,0,790,0
196,0,367,2749,39,205,1250,1,120,5,742,2881,2.302957633892886,0,82,65,246,742,0,2,0,367,9
197,0,171,2572,97,72,1059,1,464,212,384,1540,1.4528301886792452,0,131,35,168,384,4,9,0,171,3
198,0,255,3634,50,148,1046,1,621,10,75,1920,1.833810888252149,0,379,6,450,75,3,10,0,255,2
199,0,318,10375,93,562,5822,1,392,84,461,1766,0.30328009617035895,190,224,13,332,461,6,14,0,318,3
200,0,391,2697,57,195,1229,1,256,11,216,2151,1.748780487804878,4,136,49,333,216,0,12,0,391,4
201,0,600,5640,45,245,1203,1,435,3,364,1702,1.4136212624584719,0,444,451,660,364,0,12,0,600,1
202,0,575,4297,667,76,1786,1,280,18,54,1352,0.7565752658086178,0,116,15,737,54,1,9,0,575,17
203,0,775,5709,110,354,2518,1,346,36,310,3062,1.2155617308455737,0,498,16,815,310,3,26,0,775,7
204,0,723,1374,51,31,621,1,181,6,87,692,1.112540192926045,0,137,3,347,87,1,6,0,723,2
205,0,329,2001,20,37,1424,1,118,57,138,920,0.6456140350877193,0,77,9,349,138,1,2,0,329,4
206,0,156,3465,34,192,1594,1,394,37,24,1990,1.2476489028213167,0,353,93,563,24,8,13,0,156,0
207,0,411,4785,39,103,1627,1,397,13,85,1434,0.8808353808353808,0,229,35,334,85,1,14,0,411,3
208,0,1028,8552,1583,239,3021,1,792,55,2125,4668,1.5446724023825282,0,546,23,1513,2125,5,29,0,1028,9
209,0,649,5213,1042,88,2121,1,311,25,624,2121,0.9995287464655985,0,113,35,937,624,3,9,0,649,13
210,0,1776,6800,67,108,3333,1,1017,65,344,2379,0.7135572885422915,0,526,9,653,344,8,20,0,1776,10
211,0,962,7674,116,231,2547,1,766,288,283,2448,0.9607535321821036,0,631,38,774,283,2,11,0,962,62
212,0,1341,11443,150,270,3412,1,936,126,240,2798,0.8198066217404043,0,789,13,1056,240,3,17,0,1341,15
213,0,76,6317,325,1437,3442,1,1203,711,102,5189,1.5071158873075805,0,700,277,1554,102,3,0,0,76,1
214,0,771,8443,69,1020,2462,1,616,7,530,2491,1.0113682501015022,0,670,723,1040,530,2,19,0,771,2
215,0,771,8443,69,1020,2462,1,616,7,530,2491,1.0113682501015022,0,670,723,1040,530,2,19,0,771,2
216,0,67,1419,20,486,1043,1,23,6,768,1404,1.3448275862068966,0,42,1,538,768,78,8,1,67,0
217,0,251,1842,44,275,956,1,148,17,154,986,1.0303030303030303,0,107,3,155,154,3,15,0,251,11
218,0,452,1910,125,24,1038,1,182,10,76,1780,1.7131857555341674,0,179,9,207,76,0,13,0,452,5
219,0,1391,8884,2588,349,4040,1,680,194,2335,6962,1.7228408809700568,0,452,156,1914,2335,5,27,0,1391,0
220,0,728,2331,71,37,1117,1,152,17,155,1703,1.5232558139534884,0,172,14,118,155,0,8,0,728,13
221,0,1045,2740,62,31,1208,1,111,121,28,2026,1.6757650951199339,0,203,22,171,28,4,17,0,1045,6
222,0,1059,8767,74,227,3322,1,1120,86,1356,5601,1.6855251278964791,0,459,4,1072,1356,9,20,0,1059,4
223,0,1335,738,0,33,46,3,2,0,0,3899,82.95744680851064,0,2,0,5,0,0,0,0,1335,0
224,0,292,5447,69,214,1381,1,800,8,208,2154,1.5586107091172214,0,551,20,633,208,6,5,0,292,1
225,0,507,4504,61,620,2252,810,131,12,108,4011,1.7802929427430094,0,61,27,428,108,7,1,0,507,4
226,0,888,6878,81,477,2764,1,700,36,1392,4745,1.7160940325497287,0,305,33,734,1392,1,8,0,888,5
227,0,519,17602,16,118,1343,1,632,10,138,1718,1.2782738095238095,0,483,5,486,138,7,9,0,519,0
228,0,1094,9907,99,480,4212,1,894,123,640,4464,1.0595774982197959,0,669,44,1105,640,15,48,0,1094,22
229,0,1166,5578,37,353,2524,1,546,55,124,2778,1.1001980198019803,0,482,1,1027,124,2,8,0,1166,14
230,0,980,10506,147,721,3114,1,1760,87,103,3389,1.0879614767255217,0,792,3,1364,103,2,12,0,980,4
231,0,835,6148,193,140,2907,1,344,58,197,2695,0.9267537826685007,0,231,9,489,197,2,33,0,835,9
232,0,1724,2236,53,47,1592,1,109,19,34,1610,1.0106716886377902,0,76,4,114,34,10,2,0,1724,10
233,0,842,6159,585,107,2815,1,292,31,179,1897,0.6736505681818182,0,252,11,470,179,14,18,0,842,3
234,0,900,12989,3385,207,5290,1,488,41,721,2918,0.5515025515025515,0,173,42,2824,721,7,21,0,900,16
