file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
352,0,281,2924,186,85,1210,1,450,35,323,2035,1.680429397192403,0,205,5,402,323,1,12,0,281,1
353,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
354,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
355,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
356,0,350,5148,68,285,2310,1,720,67,750,4043,1.749459108610991,0,490,22,931,750,9,12,0,350,5
357,0,61,3847,16,143,1159,1,407,7,944,2350,2.0258620689655173,0,160,37,298,944,1,3,0,61,1
358,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
359,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
360,0,1246,3101,21,566,1437,1,1003,6,641,1391,0.9673157162726008,0,310,0,655,641,6,12,0,1246,0
361,0,22,122,0,3,75,1,0,2,0,188,2.473684210526316,0,7,0,17,0,0,0,0,22,0
362,0,31,640,0,120,199,81,126,3,0,2368,11.84,2,52,0,55,0,0,0,0,31,0
363,0,2132,7455,28,24,3164,1,605,9,336,4550,1.4375987361769351,0,549,5,641,336,1,21,0,2132,19
364,0,508,2814,23,28,1271,1,189,26,27,1371,1.0778301886792452,0,168,49,95,27,0,5,0,508,3
365,0,226,7663,2701,139,4241,1,334,56,123,2732,0.644035832154644,1,216,15,2040,123,3,7,0,226,31
366,0,182,1137,31,104,436,1,82,15,382,1174,2.6864988558352403,0,121,2,221,382,0,11,0,182,11
367,0,310,3860,61,274,1167,1,451,21,41,1667,1.4272260273972603,0,347,30,552,41,4,5,0,310,3
368,0,1100,4067,637,355,1587,1,514,32,1302,2901,1.8268261964735517,0,429,35,691,1302,7,11,0,1100,4
369,0,427,1835,3,333,1309,1,216,17,136,1480,1.1297709923664123,0,323,34,555,136,1,15,0,427,2
370,0,35,8388,51,889,2655,1,169,5,499,922,0.34713855421686746,0,321,2,2375,499,1,0,0,35,2
371,0,303,1949,236,9,1219,1,413,51,37,1520,1.2459016393442623,0,178,147,414,37,0,0,0,303,0
372,0,784,12766,101,90,3259,1,1305,109,287,5767,1.7690184049079754,0,1172,305,1959,287,1,15,0,784,18
373,0,299,934,3,42,526,1,123,8,197,1223,2.3206831119544593,0,56,9,26,197,0,4,0,299,4
374,-1,744,2265,19,13,1247,1242,181,21,79,2506,2.0080128205128207,0,201,5,82,79,0,18,0,744,1
375,0,258,2054,13,112,915,1,211,21,574,2296,2.506550218340611,0,94,6,124,574,9,7,0,258,4
376,0,280,1133,54,20,527,1,40,2,86,1309,2.4791666666666665,0,25,0,45,86,3,27,0,280,2
377,-1,1065,1828,145,101,841,1,110,11,310,1974,2.344418052256532,0,178,5,304,310,4,12,0,1065,76
378,0,149,2092,63,133,688,1,355,3,426,1119,1.6240928882438317,0,181,9,355,426,3,6,0,149,1
379,0,1312,8128,8,470,3001,1,709,335,1675,6556,2.183877415056629,0,725,20,1040,1675,4,40,0,1312,4
380,0,750,5543,1048,111,2262,1,321,26,626,2371,1.0477242598320813,0,129,37,943,626,3,9,0,750,23
381,0,280,1619,40,99,749,1,70,9,455,1684,2.2453333333333334,0,107,1,340,455,6,21,0,280,5
382,0,196,695,13,1,275,1,83,4,16,569,2.0615942028985508,0,102,8,105,16,0,4,0,196,4
383,0,820,1882,63,78,720,1,167,42,71,1192,1.653259361997226,0,195,3,335,71,0,2,0,820,15
384,0,16,64,0,0,25,1,4,0,0,135,5.1923076923076925,0,0,0,0,0,0,0,0,16,0
385,0,958,5831,114,16,1455,1,482,55,39,2727,1.8729395604395604,9,646,14,645,39,4,14,0,958,1
386,0,44,2613,1,160,722,188,205,17,0,751,1.0387275242047027,12,212,23,452,0,0,0,0,44,1
387,0,86,2255,3,154,651,1,221,0,134,1171,1.7960122699386503,0,44,1,387,134,0,11,0,86,0
388,0,617,7138,406,169,4459,1,837,129,168,3147,0.7056053811659193,0,220,364,1059,168,20,28,0,617,10
389,0,26,1671,0,4,55,41,20,3,0,109,1.9464285714285714,48,19,0,29,0,0,0,0,26,0
390,0,233,2622,10,141,986,1,336,100,45,1068,1.082066869300912,0,179,65,307,45,1,7,0,233,4
391,0,0,16,0,0,17,1,2,0,0,25,1.3888888888888888,0,2,4,16,0,0,0,0,0,0
392,0,189,2185,39,111,1400,1,61,11,32,2418,1.7259100642398286,0,40,7,436,32,1,14,0,189,9
393,0,15,27,0,0,24,1,0,1,3,85,3.4,0,0,0,0,3,0,0,0,15,0
